,Agency,Population,Real Violent Crime Total,Real Violent Crime Rate,Property crime total,Property crime rate,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Violent crime total,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
66,Oakdale Police Dept,27820.0,55,197.6994967649173,1166,4191.2,,3.6,,64.7,28.8,100.6,,488.9,3522.6,179.7
67,Olmsted County Sheriff Office,,24,,332,,,,,,,,,,,
68,Orono Police Dept,21190.0,4,18.87682869277961,246,1160.9,,4.7,,0.0,0.0,14.2,,207.6,929.7,23.6
69,Ottertail County Sheriff Department,,33,,441,,,,,,,,,,,
70,Owatonna Police Dept,25377.0,36,141.8607400401939,680,2679.6,,0.0,,19.7,23.6,98.5,,449.2,2120.0,110.3
71,Pine County Sheriff Department,,82,,1307,,,,,,,,,,,
72,Plymouth Police Dept,73684.0,49,66.50019000054286,1141,1548.5,,0.0,,28.5,6.8,31.2,,252.4,1225.5,70.6
73,Prior Lake Police Dept,24056.0,20,83.13934153641503,442,1837.4,,0.0,,20.8,12.5,49.9,,257.7,1517.3,62.4
74,Ramsey Police Dept,24186.0,32,132.30794674605144,379,1567.0,,4.1,,82.7,8.3,37.2,,202.6,1290.0,74.4
75,Red Wing Police Dept,16489.0,35,212.26272060161318,539,3268.8,,0.0,,84.9,12.1,115.2,,412.4,2710.9,145.6
76,Richfield Dept Of Public Safety,36367.0,88,241.977617070421,975,2681.0,,5.5,,24.7,134.7,77.0,,453.7,2098.1,129.2
77,Robbinsdale Police Dept,14363.0,33,229.75701455127756,307,2137.4,,0.0,,7.0,111.4,111.4,,494.3,1462.1,181.0
78,Rochester Police Dept,109675.0,214,195.12195121951223,2558,2332.3,,0.0,,45.6,49.2,100.3,,391.2,1847.3,93.9
79,Rogers Police Dept,11782.0,16,135.80037345102699,224,1901.2,,0.0,,34.0,25.5,76.4,,161.3,1629.6,110.3
80,Rosemount Police Dept,22579.0,9,39.860046946277514,243,1076.2,,8.9,,8.9,0.0,22.1,,168.3,881.3,26.6
81,Roseville Police Dept,34991.0,52,148.60964247949474,1481,4232.5,,2.9,,37.2,51.4,57.2,,511.6,3520.9,200.1
82,Sartell Police Dept,16258.0,4,24.60327223520728,314,1931.4,,0.0,,12.3,0.0,12.3,,166.1,1722.2,43.1
83,Sauk Rapids Police Dept,13008.0,12,92.25092250922509,215,1652.8,,0.0,,38.4,7.7,46.1,,215.3,1291.5,146.1
84,Savage Police Dept,28285.0,35,123.7404984974368,600,2121.3,,0.0,,17.7,31.8,74.2,,342.9,1746.5,31.8
85,Scott County Sheriff Office,,7,,27,,,,,,,,,,,
86,Shakopee Police Dept,39214.0,53,135.1558116999031,1024,2611.3,,5.1,,30.6,28.1,71.4,,275.4,2249.2,86.7
87,Sherburne County Sheriff Department,,26,,348,,,,,,,,,,,
88,Shoreview,25810.0,12,46.49360712901976,294,1139.1,,7.7,,3.9,0.0,34.9,,182.1,895.0,62.0
