,District Number,School Number,School Name,Demographic Description,Ending Status,Four Year Percent,Four Year Total,Physical Line 1,Physical City,Physical State,Physical Zip,Latitude,Longitude
650,2854,30,ADA-BORUP SECONDARY,All Students,Graduate,95.12,41.0,604 Thorpe Ave W,Ada,MN,56510-0308,47.2987799,-96.52739580000001
651,2856,30,STEPHEN SENIOR HIGH,All Students,Graduate,93.55,31.0,6th Street & School Ave,Stephen,MN,56757-0068,48.4507537,-96.87823
652,2859,60,GLENCOE-SILVER LAKE SENIOR HIGH,All Students,Graduate,91.0,100.0,1825 16th St E,Glencoe,MN,55336-1799,44.7760787,-94.1376224
653,2860,20,BLUE EARTH AREA SECONDARY,All Students,Graduate,88.46,78.0,1125 Hwy 169 N,Blue Earth,MN,56013-2006,43.6509641,-94.0911095
654,2884,20,RED ROCK CENTRAL SECONDARY,All Students,Graduate,100.0,33.0,100 6th Ave E,Lamberton,MN,56152-0278,44.2269356,-95.2631306
655,2886,300,GLENVILLE-EMMONS SECONDARY,All Students,Graduate,87.5,16.0,230 5th St SE,Glenville,MN,56036-0038,43.5672547,-93.2756102
656,2888,3,CLINTON-GRACEVILLE-BEARDSLEY SR.,All Students,Graduate,96.0,25.0,712 3rd St,Graceville,MN,56240-0398,45.5692917,-96.4337638
657,2889,20,LAKE PARK AUDUBON SECONDARY,All Students,Graduate,89.58,48.0,611 Vigen Rd,Lake Park,MN,56554-0479,46.88186289999999,-96.10149179999999
658,2890,20,RENVILLE COUNTY WEST SENIOR HIGH,All Students,Graduate,92.59,27.0,301 NE 3rd St,Renville,MN,56284-0338,44.79179,-95.20875319999999
659,2895,113,JACKSON COUNTY CENTRAL SENIOR HIGH,All Students,Graduate,95.35,86.0,1128 N Hwy,Jackson,MN,56143-1075,43.6252416,-94.9990708
660,2897,1,REDWOOD VALLEY SENIOR HIGH,All Students,Graduate,87.06,85.0,100 George Ramseth Dr,Redwood Falls,MN,56283-1938,44.5388806,-95.0916316
661,2898,30,WESTBROOK-WALNUT GROVE SECONDARY,All Students,Graduate,97.14,35.0,344 8th St,Westbrook,MN,56183-0128,44.0443473,-95.4300159
662,2899,40,PLAINVIEW-ELGIN-MILLVILLE HIGH,All Students,Graduate,93.41,91.0,500 W Broadway,Plainview,MN,55964-1031,44.1654946,-92.1740386
663,2902,300,RTR HIGH SCHOOL,All Students,Graduate,100.0,36.0,100 Strong St,Tyler,MN,56178,44.2817055,-96.13356329999999
664,2903,20,ORTONVILLE SECONDARY,All Students,Graduate,97.06,34.0,200 Trojan Dr,Ortonville,MN,56278-0247,45.3077017,-96.4426589
665,2904,1,TRACY SECONDARY,All Students,Graduate,94.0,50.0,934 Pine St,Tracy,MN,56175,44.2250079,-95.63103470000001
666,2905,20,TRI-CITY UNITED HIGH SCHOOL,All Students,Graduate,93.44,122.0,700 4th St NW,Montgomery,MN,56069-0029,44.4482782,-93.5878669
667,2906,20,RED LAKE COUNTY CENTRAL HIGH SCHOOL,All Students,Graduate,92.59,27.0,201 Governor St,Oklee,MN,56742,47.8396856,-95.85659439999999
668,2908,4,BRANDON-EVANSVILLE HIGH SCHOOL,All Students,Graduate,90.0,30.0,206 W 3rd St,Brandon,MN,56315-0185,45.9672271,-95.5997222
669,4000,10,CITY ACADEMY,All Students,Graduate,60.53,76.0,958 Jessie St,Saint Paul,MN,55130-4058,44.9699649,-93.07691009999999
673,4007,10,MINNESOTA NEW COUNTRY SCHOOL,All Students,Graduate,63.64,22.0,210 Main St,Henderson,MN,56044-0488,44.529033,-93.9034829
675,4008,30,PACT CHARTER SECONDARY,All Students,Graduate,96.15,52.0,7250 E Ramsey Pkwy,Ramsey,MN,55303,45.2337442,-93.4513613
676,4015,11,COMMUNITY OF PEACE ACADEMY HIGH SCHOOL,All Students,Graduate,86.21,58.0,471 Magnolia Ave E,Saint Paul,MN,55130-3849,44.97439019999999,-93.080371
678,4017,12,MTS HIGH SCHOOL,All Students,Graduate,50.0,30.0,2872 26th Avenue S.,Minneapolis,MN,55406-1310,44.9505072,-93.237853
679,4017,16,MTS PEASE ACADEMY,All Students,Graduate,50.0,14.0,601 13th Ave SE,Minneapolis,MN,55414-1437,44.983514,-93.2358098
680,4017,18,MINNESOTA CONNECTIONS ACADEMY,All Students,Graduate,63.93,341.0,1336 Energy Park Dr,Saint Paul,MN,55108,44.9701348,-93.15632719999999
681,4025,10,CYBER VILLAGE ACADEMY,All Students,Graduate,44.74,38.0,768 Hamline Ave S,Saint Paul,MN,55116-2224,44.9183567,-93.15620160000002
683,4026,10,E.C.H.O. CHARTER SCHOOL,All Students,Graduate,92.86,14.0,101 Rocket Ave,Echo,MN,56237-0158,44.617944,-95.41007239999999
685,4027,30,HIGHER GROUND SECONDARY ACADEMY,All Students,Graduate,93.02,43.0,1471 Brewster Ave.,Saint Paul,MN,55108,44.9750824,-93.16190999999999
686,4031,10,JENNINGS EXPERIENTIAL HIGH SCHOOL,All Students,Graduate,35.71,28.0,2455 University Ave West,Saint Paul,MN,55114-1507,44.9650356,-93.1995683
687,4036,10,FACE TO FACE ACADEMY,All Students,Graduate,18.18,22.0,1165 Arcade St,Saint Paul,MN,55106-2615,44.9762687,-93.0663209
689,4039,10,HIGH SCHOOL FOR RECORDING ARTS,All Students,Graduate,25.0,124.0,1166 University Ave W,Saint Paul,MN,55104-4169,44.9544297,-93.14981139999999
690,4039,10,HIGH SCHOOL FOR RECORDING ARTS,All Students,Graduate,25.0,124.0,1166 University Ave,Saint Paul,MN,55104,44.9544297,-93.14981139999999
691,4043,10,MATH AND SCIENCE ACADEMY,All Students,Graduate,100.0,54.0,8430 Woodbury Crossing,Woodbury,MN,55125-9433,44.9128816,-92.93577859999999
692,4043,10,MATH AND SCIENCE ACADEMY,All Students,Graduate,100.0,54.0,8430 Woodbury Crossing,Woodbury,MN,55125,44.9128816,-92.93577859999999
693,4049,10,NORTHWEST PASSAGE HIGH SCHOOL,All Students,Graduate,36.36,44.0,11345 Robinson Dr NW,Coon Rapids,MN,55443-3777,45.1772931,-93.3075703
695,4053,20,NORTH LAKES ACADEMY 56,All Students,Graduate,80.0,40.0,308 15th St SW,Forest Lake,MN,55025,45.2754746,-93.00384729999999
696,4056,10,ROSA PARKS CHARTER HIGH SCHOOL,All Students,Graduate,27.78,36.0,2450 Marion Road SE,Rochester,MN,55904,43.9864318,-92.4044339
698,4057,10,EL COLEGIO CHARTER SCHOOL,All Students,Graduate,58.33,36.0,4137 Bloomington Ave,Minneapolis,MN,55407-3332,44.9278142,-93.2519983
700,4059,20,CROSSLAKE COMMUNITY HIGH SCHOOL,All Students,Graduate,42.31,26.0,35808 County Road 66,Crosslake,MN,56442,46.6726694,-94.10770269999999
701,4066,10,KATO PUBLIC CHARTER SCHOOL,All Students,Graduate,50.0,12.0,110 N 6th St,Mankato,MN,56001-5312,44.1646787,-93.99617459999999
703,4074,10,AFSA HIGH SCHOOL,All Students,Graduate,73.08,52.0,100 Vadnais Blvd,Vadnais Heights,MN,55127-4036,45.0461776,-93.0959833
704,4074,10,AFSA HIGH SCHOOL,All Students,Graduate,73.08,52.0,100 Vadnais Blvd,Vadnais Heights,MN,55127,45.0461776,-93.0959833
705,4075,10,AVALON SCHOOL,All Students,Graduate,66.67,51.0,700 Glendale St,Saint Paul,MN,55114-1782,44.962262,-93.19843139999999
707,4080,10,PILLAGER AREA CHARTER SCHOOL,All Students,Graduate,20.0,10.0,12763 County Rd 1,Pillager,MN,56473-2179,46.34154239999999,-94.48530629999999
708,4080,10,PILLAGER AREA CHARTER SCHOOL,All Students,Graduate,20.0,10.0,12763 County Rd 1,Pillager,MN,56473-0130,46.34154239999999,-94.48530629999999
709,4081,10,DISCOVERY PUBLIC SCHOOL FARIBAULT,All Students,Graduate,63.64,11.0,126 NW 8th St,Faribault,MN,55021-4241,44.2994577,-93.2711331
710,4081,10,DISCOVERY PUBLIC SCHOOL FARIBAULT,All Students,Graduate,63.64,11.0,126 NW 8th St,Faribault,MN,55021,44.2994577,-93.2711331
711,4082,10,BLUESKY CHARTER SCHOOL,All Students,Graduate,41.81,177.0,33 Wentworth Ave E Ste #100,West Saint Paul,MN,55118-3431,44.8984938,-93.08352850000001
712,4082,10,BLUESKY CHARTER SCHOOL,All Students,Graduate,41.81,177.0,33 Wentworth Ave E Ste 100,West Saint Paul,MN,55118-3431,44.8984938,-93.08352850000001
