,District Number,School Number,School Name,Demographic Description,Ending Status,Four Year Percent,Four Year Total,Physical Line 1,Physical City,Physical State,Physical Zip,Latitude,Longitude
0,1,1,AITKIN SECONDARY SCHOOL,All Students,Graduate,90.8,87.0,306 2nd St NW,Aitkin,MN,56431,46.5336663,-93.71121749999999
1,1,307,BASIC SKILLS-4,All Students,Graduate,77.36,106.0,1250 W Broadway Ave,Minneapolis,MN,55411,44.9998636,-93.2965675
2,1,346,800 W BROADWAY,All Students,Graduate,3.57,28.0,1250 West Broadway,Minneapolis,MN,55411,44.9998636,-93.2965675
3,1,347,FAIR SENIOR HIGH,All Students,Graduate,79.37,63.0,10 South 10th Street,Minneapolis,MN,55403,44.9724537,-93.27111599999999
4,1,348,MERC,All Students,Graduate,3.7,27.0,2539 Pleasant Ave,Minneapolis,MN,55404-4213,44.9559698,-93.28263079999999
5,1,349,LORING-NICOLLET HIGH,All Students,Graduate,37.5,24.0,1925 Nicollet Ave S,Minneapolis,MN,55403,44.9630507,-93.27745589999999
6,1,352,EDISON SENIOR HIGH,All Students,Graduate,59.81,214.0,700 22nd Ave NE,Minneapolis,MN,55418,45.0093165,-93.2516764
9,1,353,LONGFELLOW ALTERNATIVE,All Students,Graduate,12.9,31.0,3017 E 31st St,Minneapolis,MN,55406,44.946428,-93.22780569999999
10,1,354,HENRY SENIOR HIGH,All Students,Graduate,70.91,220.0,4320 Newton Ave N,Minneapolis,MN,55412,45.0344106,-93.30537609999999
13,1,357,PLYMOUTH YOUTH CENTER,All Students,Graduate,15.38,65.0,2210 Oliver Ave N,Minneapolis,MN,55411,45.00172509999999,-93.3066218
14,1,360,ROOSEVELT SENIOR HIGH,All Students,Graduate,67.19,192.0,4029 28th Ave S,Minneapolis,MN,55406,44.9295149,-93.2305542
18,1,362,SOUTH SENIOR HIGH,All Students,Graduate,79.13,436.0,3131 19th Ave S,Minneapolis,MN,55407,44.9456084,-93.243963
22,1,363,WELLSTONE INTERNATIONAL HIGH,All Students,Graduate,41.58,101.0,3328 Elliot Avenue South,Minneapolis,MN,55407,44.9417519,-93.261663
23,1,364,SOUTHWEST SENIOR HIGH,All Students,Graduate,86.81,417.0,3414 W 47th St,Minneapolis,MN,55410,44.9182547,-93.3234571
27,1,368,WASHBURN SENIOR HIGH,All Students,Graduate,86.91,359.0,201 W 49th St,Minneapolis,MN,55419,44.9135166,-93.2824163
30,1,373,MENLO PARK ACADEMY,All Students,Graduate,0.0,20.0,1700 2nd St NE,Minneapolis,MN,55413,45.0055328,-93.2667237
31,1,375,NORTH ACADEMY SENIOR HIGH,All Students,Graduate,58.23,79.0,1500 James Ave N,Minneapolis,MN,55411,44.9940012,-93.3000797
34,1,382,HARRISON EDUCATION CENTER,All Students,Graduate,9.09,11.0,501 Irving Ave N,Minneapolis,MN,55405,44.9825443,-93.2995779
36,1,390,HERITAGE STEM ACADEMY,All Students,Graduate,96.3,27.0,1042 18th Ave SE,Minneapolis,MN,55414,44.9889976,-93.22621600000001
38,1,392,ALC EXTENDED DAY,All Students,Graduate,0.0,14.0,1250 West Broadway,Minneapolis,MN,55411,44.9998636,-93.2965675
39,1,393,AMERICAN INDIAN OIC,All Students,Graduate,33.33,18.0,1845 E Franklin Ave,Minneapolis,MN,55404,44.9617939,-93.2461234
40,1,415,MINNEAPOLIS ON LINE LEARNING,All Students,Graduate,29.17,24.0,1250 West Broadway Ave,Minneapolis,MN,55411,44.9998636,-93.2965675
41,1,419,VOA HIGH SCHOOL,All Students,Graduate,6.0,50.0,924 19th Ave S,Minneapolis,MN,55404,44.9631036,-93.2460218
48,1,685,STADIUM VIEW,All Students,Graduate,12.5,24.0,510 Park Ave,Minneapolis,MN,55415,44.9747731,-93.2616024
49,1,688,MPS METRO HA,All Students,Graduate,0.0,11.0,425 5th St NE,Minneapolis,MN,55413,44.9943824,-93.25621509999999
50,2,3,HILL CITY SENIOR HIGH,All Students,Graduate,95.24,21.0,500 Ione Ave,Hill City,MN,55748,46.99187939999999,-93.605277
51,4,40,MCGREGOR SECONDARY,All Students,Graduate,95.24,21.0,148 S 2nd St,McGregor,MN,55760,46.6060026,-93.3044953
52,6,120,SOUTH ST. PAUL SECONDARY,All Students,Graduate,95.5,200.0,700 N 2nd St,South Saint Paul,MN,55075,44.89196560000001,-93.0426899
53,6,303,S ST. PAUL COMMUNITY LRNG. CNTR.,All Students,Graduate,29.09,55.0,141 - 6th Street South,South Saint Paul,MN,55075,44.8797682,-93.0333677
54,11,1,ANOKA HIGH SCHOOL,All Students,Graduate,91.84,515.0,3939 N 7th Ave,Anoka,MN,55303-1299,45.2240394,-93.37914649999999
55,11,2,COON RAPIDS HIGH SCHOOL,All Students,Graduate,88.67,406.0,2340 Northdale Blvd,Coon Rapids,MN,55433-3097,45.1810318,-93.3259391
56,11,91,BLAINE HIGH SCHOOL,All Students,Graduate,91.88,653.0,12555 University Ave NE,Blaine,MN,55434-2199,45.1992637,-93.263618
57,11,94,ANDOVER HIGH SCHOOL,All Students,Graduate,97.04,406.0,2115 Andover Blvd NW,Andover,MN,55304-3407,45.2383733,-93.31952849999999
58,11,110,ANOKA-HENNEPIN REGIONAL HIGH SCHOOL,All Students,Graduate,31.52,92.0,1313 Coon Rapids Blvd NW,Coon Rapids,MN,55433-5362,45.153034,-93.2998035
59,11,111,ANOKA-HENNEPIN REGIONAL NIGHT SCHOOL,All Students,Graduate,8.33,12.0,1313 Coon Rapids Blvd NW,Coon Rapids,MN,55433-5362,45.153034,-93.2998035
60,11,192,CHAMPLIN PARK HIGH SCHOOL,All Students,Graduate,92.55,604.0,6025 109th Ave N,Champlin,MN,55316-3488,45.15011399999999,-93.35508899999999
61,11,198,SECONDARY TECHNICAL EDUCATION PROGRAM S.T.E.P.,All Students,Graduate,53.49,43.0,1353 W Hwy 10,Anoka,MN,55303-1564,45.12078959999999,-93.2380955
62,11,434,ANOKA-HENNEPIN TECHNICAL HIGH SCHOOL,All Students,Graduate,9.46,74.0,1355 Hwy 10,Anoka,MN,55303,45.216775,-93.41706839999999
65,11,467,RIVER TRAIL LEARNING CTR @ LO JACOB,All Students,Graduate,36.36,11.0,1700 Coon Rapids Blvd,Coon Rapids,MN,55448-4789,45.155711,-93.30986
67,11,898,STEP AHEAD HIGH SCHOOL,All Students,Graduate,61.63,86.0,1353 West Highway 10,Anoka,MN,55303,45.21614030000001,-93.41515340000001
68,11,975,ANOKA-HENNEPIN REGIONAL HS SUMMER PROGRAM,All Students,Graduate,98.56,139.0,1313 Coon Rapids Blvd NW,Coon Rapids,MN,55433-5362,45.153034,-93.2998035
69,12,158,PINES SCHOOL - ACS,All Students,Graduate,0.0,16.0,7555 4th Avenue,Lino Lakes,MN,55014,45.18134999999999,-93.12417699999999
70,12,159,PINES SCHOOL - NSP,All Students,Graduate,7.14,14.0,7555 4th Avenue,Lino Lakes,MN,55014,45.18134999999999,-93.12417699999999
71,12,161,PINES SCHOOL - RJC,All Students,Graduate,4.17,24.0,7555 4th Ave,Lino Lakes,MN,55014,45.18134999999999,-93.12417699999999
72,12,164,CENTENNIAL HIGH SCHOOL,All Students,Graduate,94.88,449.0,4757 N Rd,Circle Pines,MN,55014-1545,45.1547262,-93.14880439999999
73,12,167,CENTENNIAL AREA LEARNING CENTER,All Students,Graduate,33.33,33.0,4203 Woodland Rd,Circle Pines,MN,55014-9999,45.1392217,-93.16189349999999
75,13,16,COLUMBIA HEIGHTS SENIOR HIGH,All Students,Graduate,86.19,181.0,1400 49th Ave NE,Columbia Heights,MN,55421,45.0552673,-93.23974299999999
76,14,22,FRIDLEY SENIOR HIGH,All Students,Graduate,91.79,195.0,6000 W Moore Lake Dr,Fridley,MN,55432,45.0765094,-93.25229800000001
78,14,552,FRIDLEY MOORE LAKE AREA LEARNING CENTER,All Students,Graduate,30.95,42.0,1317 Rice Creek Road,Fridley,MN,55432,45.0826989,-93.236955
79,15,15,SAINTS ONLINE,All Students,Graduate,57.14,28.0,4111 Ambassador Blvd NW,Saint Francis,MN,55070,45.4000652,-93.3716355
81,15,18,SAINTS ACADEMY,All Students,Graduate,34.62,26.0,4111 Ambassador Blvd NW ,Saint Francis,MN,55070,45.4000652,-93.3716355
82,15,122,ST. FRANCIS HIGH,All Students,Graduate,94.7,283.0,3325 Bridge St,Saint Francis,MN,55070-9537,45.389565,-93.34955900000001
83,16,45,SPRING LAKE PARK SENIOR HIGH,All Students,Graduate,84.75,354.0,1100 81st Ave NE,Spring Lake Park,MN,55432-2098,45.1122656,-93.2453965
84,16,780,DISTANCE LEARNING INDEP STUDY,All Students,Graduate,25.0,16.0,1100 81st Ave NE,Spring Lake Park,MN,55432-2071,45.1122656,-93.2453965
85,22,3,DETROIT LAKES SENIOR HIGH,All Students,Graduate,91.88,197.0,1301 Roosevelt Ave,Detroit Lakes,MN,56501-4499,46.8082747,-95.8373007
87,22,42,DETROIT LAKES AREA LEARNING CENTER,All Students,Graduate,64.29,28.0,900 Hwy 34 E,Detroit Lakes,MN,56501,46.8263949,-95.8329499
88,23,20,FRAZEE SECONDARY,All Students,Graduate,100.0,63.0,305 N Lake St,Frazee,MN,56544,46.73011899999999,-95.6986804
89,31,20,BEMIDJI SENIOR HIGH,All Students,Graduate,85.25,305.0,2900 Division St W,Bemidji,MN,56601-5668,47.466093,-94.9238057
91,31,160,FIRST CITY SCHOOL,All Students,Graduate,3.23,31.0,1230 5th St NW,Bemidji,MN,56601-5668,47.4721603,-94.89687839999999
92,31,170,BEMIDJI AREA LEARNING CENTER,All Students,Graduate,26.53,49.0,802 Paul Bunyan Dr NW,Bemidji,MN,56601-5668,47.4906245,-94.891919
93,32,20,BLACKDUCK SECONDARY,All Students,Graduate,80.49,41.0,156 1st St NE,Blackduck,MN,56630-0342,47.7312965,-94.54607999999999
94,36,20,KELLIHER SECONDARY,All Students,Graduate,93.75,16.0,345 4th St NW,Kelliher,MN,56650-0259,47.9438861,-94.4528211
95,38,30,RED LAKE SECONDARY,All Students,Graduate,39.22,51.0,23990 Hwy 1 E,Red Lake,MN,56671-0499,47.8781966,-95.014641
96,38,35,RED LAKE ALTERNATIVE LEARNING,All Students,Graduate,8.51,47.0,23990 Hwy 1 E,Red Lake,MN,56671-0499,47.8781966,-95.014641
97,47,1,SAUK RAPIDS-RICE SENIOR HIGH,All Students,Graduate,89.9,297.0,1835 Osauka Rd NE,Sauk Rapids,MN,56379,45.6096178,-94.1264166
98,51,20,FOLEY SENIOR HIGH,All Students,Graduate,93.1,145.0,621 Penn St,Foley,MN,56329,45.669566,-93.9103344
99,75,20,ST. CLAIR SECONDARY,All Students,Graduate,100.0,55.0,121 Main St West,Saint Clair,MN,56080-0099,44.08165150000001,-93.85932679999999
100,77,130,MANKATO WEST SENIOR HIGH,All Students,Graduate,91.36,301.0,1351 S Riverfront Dr,Mankato,MN,56001-8713,44.15892729999999,-94.0176684
103,77,160,MANKATO EAST SENIOR HIGH,All Students,Graduate,92.11,228.0,2600 Hoffman Rd,Mankato,MN,56001-8726,44.15656999999999,-93.96068900000002
106,77,220,CENTRAL HIGH AREA LEARNING CENTER,All Students,Graduate,54.0,50.0,110 Fulton St,Mankato,MN,56001-3999,44.1574407,-94.0093729
108,81,20,COMFREY SECONDARY,All Students,Graduate,90.0,10.0,305 Ochre St,Comfrey,MN,56019-1166,44.109306,-94.90807850000002
109,84,20,SLEEPY EYE SEC.,All Students,Graduate,89.8,49.0,400 4th Ave SW,Sleepy Eye,MN,56085-1204,44.2932844,-94.7280311
110,85,1,SPRINGFIELD SECONDARY,All Students,Graduate,96.08,51.0,12 S Burns,Springfield,MN,56087,44.2388001,-94.98203319999999
111,88,50,NEW ULM HIGH SCHOOL,All Students,Graduate,94.87,156.0,1600 Oak Street,New Ulm,MN,56073,44.3147075,-94.4884361
112,91,2,BARNUM SECONDARY,All Students,Graduate,92.86,56.0,3675 County Rd 140,Barnum,MN,55707,46.5064782,-92.6796839
113,93,1,CARLTON SECONDARY,All Students,Graduate,97.14,35.0,405 School Ave,Carlton,MN,55718-0310,46.6653502,-92.4219423
114,94,103,CLOQUET AREA ALT. ED. PROGRAMS,All Students,Graduate,33.33,33.0,302 14th St,Cloquet,MN,55720-2162,46.7173598,-92.4485646
115,94,202,CLOQUET SENIOR,All Students,Graduate,94.37,142.0,1000 18th St,Cloquet,MN,55720-2438,46.71030409999999,-92.4422213
117,95,20,CROMWELL-WRIGHT SECONDARY,All Students,Graduate,93.75,16.0,5624 Hwy 210,Cromwell,MN,55726-0007,46.6784886,-92.88528050000001
118,97,10,MOOSE LAKE SECONDARY,All Students,Graduate,83.33,42.0,4812 County Rd 10,Moose Lake,MN,55767-9422,46.42834930000001,-92.7619635
119,99,1,LINCOLN SECONDARY,All Students,Graduate,100.0,92.0,2 E Highway 61,Esko,MN,55733-9629,46.7058673,-92.36187319999999
120,99,1,LINCOLN SECONDARY,All Students,Graduate,100.0,92.0,300 S Garden Street,Lake City,MN,55041-1664,44.4445728,-92.26657829999999
121,813,40,LINCOLN SECONDARY,All Students,Graduate,91.3,92.0,2 E Highway 61,Esko,MN,55733-9629,46.7058673,-92.36187319999999
122,813,40,LINCOLN SECONDARY,All Students,Graduate,91.3,92.0,300 S Garden Street,Lake City,MN,55041-1664,44.4445728,-92.26657829999999
123,100,2,WRENSHALL SECONDARY,All Students,Graduate,85.71,21.0,207 Pioneer Dr,Wrenshall,MN,55797,46.6172937,-92.38229249999999
125,108,20,CENTRAL SENIOR HIGH,All Students,Graduate,96.12,103.0,531 Central Ave,Norwood Young America,MN,55368,44.7759355,-93.9194322
126,108,20,CENTRAL SENIOR HIGH,All Students,Graduate,96.12,103.0,275 Lexington Pkwy N,Saint Paul,MN,55104-5400,44.9494432,-93.1481055
127,625,210,CENTRAL SENIOR HIGH,All Students,Graduate,85.1,396.0,531 Central Ave,Norwood Young America,MN,55368,44.7759355,-93.9194322
128,625,210,CENTRAL SENIOR HIGH,All Students,Graduate,85.1,396.0,275 Lexington Pkwy N,Saint Paul,MN,55104-5400,44.9494432,-93.1481055
129,110,310,WACONIA HIGH SCHOOL,All Students,Graduate,98.49,265.0,1650 Community Dr,Waconia,MN,55387,44.836073,-93.819897
130,110,601,WACONIA LEARNING CENTER,All Students,Graduate,70.37,27.0,1800 Community Dr,Waconia,MN,55387,44.8367388,-93.8213383
131,111,842,WATERTOWN MAYER HIGH,All Students,Graduate,96.58,117.0,1001 Hwy 25 NW,Watertown,MN,55388,44.9715484,-93.8575031
132,112,60,CHASKA HIGH SCHOOL,All Students,Graduate,97.52,322.0,545 Pioneer Trail,Chaska,MN,55318-1499,44.8236532,-93.58997000000001
133,112,64,CHANHASSEN HIGH SCHOOL,All Students,Graduate,96.88,416.0,2200 Lyman Blvd.,Chanhassen,MN,55317,44.8448786,-93.5744679
134,112,65,INTEGRATED ARTS ACADEMY,All Students,Graduate,69.57,23.0,11 Peavy Road,Chaska,MN,55318,44.8416217,-93.59685259999999
137,113,20,WALKER-HACKENSACK-AKELEY SEC.,All Students,Graduate,87.5,56.0,301 4th St,Walker,MN,56484,47.0983757,-94.5783424
138,115,30,CASS LAKE-BENA SECONDARY,All Students,Graduate,55.1,49.0,15308 State 371 NW,Cass Lake,MN,56633-3373,47.355654,-94.61302099999999
139,115,31,CASS LAKE-BENA AREA LRNG. CNTR.,All Students,Graduate,27.42,62.0,208 Central Ave NW,Cass Lake,MN,56633-3373,47.3800019,-94.60394730000002
140,116,20,PILLAGER SENIOR HIGH SCHOOL,All Students,Graduate,93.22,59.0,323 E 2nd St S,Pillager,MN,56473,46.3275047,-94.4711292
141,118,20,NORTHLAND SECONDARY,All Students,Graduate,80.95,21.0,316 Main St E,Remer,MN,56672-9701,47.05827559999999,-93.9104519
143,129,40,MONTEVIDEO SENIOR HIGH,All Students,Graduate,90.72,97.0,1501 William Ave,Montevideo,MN,56265-2299,44.9380166,-95.7080301
144,138,30,NORTH BRANCH SENIOR HIGH,All Students,Graduate,83.71,221.0,38175 Grand Ave,North Branch,MN,55056-0370,45.502762,-92.967875
145,138,70,DISTANCE LEARNING PROGRAM,All Students,Graduate,100.0,14.0,38423 Lincoln Trail,North Branch,MN,55056-0370,45.5084323,-92.9665897
146,139,20,RUSH CITY SECONDARY,All Students,Graduate,91.94,62.0,51001 Fairfield Ave,Rush City,MN,55069-1261,45.690023,-92.980986
147,146,40,BARNESVILLE SECONDARY,All Students,Graduate,95.08,61.0,302 3rd St SE,Barnesville,MN,56514-0189,46.650959,-96.416822
148,150,20,HAWLEY SECONDARY,All Students,Graduate,95.77,71.0,714 Joseph St,Hawley,MN,56549,46.8833271,-96.3198499
149,152,382,MOORHEAD HIGH SCHOOL,All Students,Graduate,82.52,389.0,2300 4th Ave S,Moorhead,MN,56560-3298,46.872105,-96.742829
152,152,960,WEST CENTRAL ACADEMY-S,All Students,Graduate,6.25,16.0,729 11th St N,Moorhead,MN,56560-2800,46.8835322,-96.7645886
153,152,980,RED RIVER AREA LEARNING CENTER,All Students,Graduate,22.92,48.0,2777 34th St S,Moorhead,MN,56560-2892,46.8486487,-96.7229959
154,160,1,MN ACADEMY FOR THE BLIND,All Students,Graduate,40.0,10.0,400 SE 6th Ave,Faribault,MN,55021-0308,44.2860185,-93.2591484
155,160,2,MN ACADEMY FOR THE DEAF,All Students,Graduate,52.94,17.0,615 Olof Hanson Dr,Faribault,MN,55021-0308,44.2967758,-93.26154509999999
156,162,20,BAGLEY SECONDARY,All Students,Graduate,92.65,68.0,1130 Main Ave N,Bagley,MN,56621,47.5347479,-95.3974099
158,166,50,COOK COUNTY SENIOR HIGH,All Students,Graduate,92.73,55.0,101 W 5th St,Grand Marais,MN,55604-1337,47.75562009999999,-90.3355687
160,173,20,MOUNTAIN LAKE SECONDARY,All Students,Graduate,100.0,38.0,450 12th St,Mountain Lake,MN,56159,43.9416891,-94.9260426
161,177,50,WINDOM SENIOR HIGH,All Students,Graduate,98.31,59.0,1400 W 17th St,Windom,MN,56101,43.8762733,-95.13033999999999
162,181,14,BRAINERD SENIOR HIGH,All Students,Graduate,91.82,391.0,702 S 5th St,Brainerd,MN,56401-4099,46.3507159,-94.205216
164,181,18,ISD 181 LEARNING CENTER,All Students,Graduate,41.38,58.0,311 10th Ave NE,Brainerd,MN,56401-4424,46.3622959,-94.1750371
165,182,1,CROSBY-IRONTON SECONDARY,All Students,Graduate,84.09,88.0,711 Poplar St,Crosby,MN,56441-1198,46.47849679999999,-93.96660310000001
166,186,20,PEQUOT LAKES SENIOR HIGH,All Students,Graduate,96.15,130.0,30805 Olson St,Pequot Lakes,MN,56472-3094,46.5993503,-94.3179548
167,191,14,BURNSVILLE HIGH SCHOOL,All Students,Graduate,85.33,559.0,600 E Hwy 13,Burnsville,MN,55337-2995,44.7820903,-93.267381
169,191,514,BURNSVILLE ALTERNATIVE HIGH SCHOOL,All Students,Graduate,48.6,107.0,2140 Diffley Rd,Eagan,MN,55122-2098,44.8056035,-93.216499
170,192,20,FARMINGTON HIGH SCHOOL,All Students,Graduate,93.44,427.0,20655 Flagstaff Ave,Farmington,MN,55024-9242,44.6524777,-93.2028314
171,192,50,DAKOTA PRAIRIE AREA LEARNING CENTER,All Students,Graduate,90.91,11.0,20655 Flagstaff Ave,Farmington,MN,55024-9242,44.6524777,-93.2028314
172,194,28,LAKEVILLE NORTH HIGH,All Students,Graduate,95.48,465.0,19600 Ipava Ave,Lakeville,MN,55044-7421,44.6651149,-93.2573316
173,194,40,LAKEVILLE SOUTH HIGH,All Students,Graduate,95.38,455.0,21135 Jacquard Ave,Lakeville,MN,55044,44.6434899,-93.2710938
174,194,90,LINK12 LAKEVILLE,All Students,Graduate,69.57,23.0,"17630 Juniper Path, Suite A",Lakeville,MN,55044-9452,44.6928461,-93.28653969999999
175,194,590,LAKEVILLE AREA LEARNING CENTER,All Students,Graduate,55.81,43.0,20950 Howland Ave,Lakeville,MN,55044-8501,44.646246,-93.243828
176,195,20,RANDOLPH SECONDARY,All Students,Graduate,95.12,41.0,29110 Davisson Ave,Randolph,MN,55065-9582,44.5266497,-93.0224191
189,196,34,ABE DIPLOMA PROGRAM,All Students,Graduate,55.32,47.0,4679 144th Street West,Apple Valley,MN,55124,44.74153829999999,-93.1604643
190,196,38,ROSEMOUNT SENIOR HIGH,All Students,Graduate,92.41,514.0,3335 142nd St W,Rosemount,MN,55068-4029,44.7446371,-93.1331594
191,196,41,EAGAN SENIOR HIGH,All Students,Graduate,95.38,498.0,4185 Braddock Tr,Eagan,MN,55123-1575,44.8075205,-93.1342119
192,196,58,ROSEMOUNT AREA LEARNING CENTER,All Students,Graduate,30.61,49.0,5840 149th St West,Apple Valley,MN,55124,44.73250609999999,-93.18322219999999
193,196,60,SCHOOL OF ENVIRONMENTAL STUDIES,All Students,Graduate,91.33,173.0,12155 Johnny Cake Ridge Rd,Apple Valley,MN,55124-8151,44.7721002,-93.1909115
194,196,88,EASTVIEW SENIOR HIGH,All Students,Graduate,95.05,485.0,6200 140th St W,Apple Valley,MN,55124-6912,44.7443545,-93.1914608
195,196,97,APPLE VALLEY SENIOR HIGH,All Students,Graduate,88.83,385.0,14450 Hayes Rd,Apple Valley,MN,55124-6797,44.742774,-93.23039899999999
196,196,100,DAKOTA RIDGE SCHOOL,All Students,Graduate,40.0,10.0,4629 144th St W,Apple Valley,MN,55124-4004,44.741506,-93.157889
197,197,53,HENRY SIBLEY HIGH SCHOOL,All Students,Graduate,92.33,313.0,1897 Delaware Ave,West Saint Paul,MN,55118-4338,44.8880191,-93.1059181
198,199,26,SIMLEY SENIOR HIGH,All Students,Graduate,89.43,265.0,2920 80th St E,Inver Grove Heights,MN,55076-3232,44.8321109,-93.0461964
199,199,226,SIMLEY ALTERNATIVE PROGRAM,All Students,Graduate,66.67,15.0,2920 80th St E,Inver Grove Heights,MN,55076-3232,44.8321109,-93.0461964
200,200,129,HASTINGS HIGH SCHOOL,All Students,Graduate,96.15,312.0,200 General Sieben Dr,Hastings,MN,55033-2486,44.74429430000001,-92.8906067
201,200,136,HASTINGS ALTERNATIVE CENTER,All Students,Graduate,87.5,16.0,213 Ramsey Street,Hastings,MN,55033-3142,44.743652,-92.849454
202,203,1,HAYFIELD SECONDARY,All Students,Graduate,94.83,58.0,9 6th Ave SE,Hayfield,MN,55940-0006,43.8877271,-92.8363286
203,204,30,KASSON-MANTORVILLE SENIOR HIGH,All Students,Graduate,98.54,137.0,101 16th St NE,Kasson,MN,55944,44.045155,-92.74322099999999
204,206,320,ALEXANDRIA AREA HIGH SCHOOL,All Students,Graduate,88.03,309.0,4300 Pioneer Road SE,Alexandria,MN,56308,45.8502372,-95.3618882
205,213,20,OSAKIS SECONDARY,All Students,Graduate,98.15,54.0,500 1st Ave E,Osakis,MN,56360-0624,45.8642958,-95.1518475
206,227,1,CHATFIELD SECONDARY,All Students,Graduate,96.83,63.0,205 Union St NE,Chatfield,MN,55923-1099,43.8552934,-92.1913039
207,229,20,LANESBORO SECONDARY,All Students,Graduate,100.0,23.0,100 Kirkwood St E,Lanesboro,MN,55949,43.7168673,-91.97626439999999
208,238,2,MABEL-CANTON SECONDARY,All Students,Graduate,95.65,23.0,316 W Fillmore Ave,Mabel,MN,55954,43.5198735,-91.7732805
209,239,2,RUSHFORD-PETERSON SENIOR HIGH,All Students,Graduate,93.02,43.0,1000 Pine Meadows Lane,Rushford,MN,55971,43.8182668,-91.7463221
210,241,310,ALBERT LEA SENIOR HIGH,All Students,Graduate,86.22,225.0,2000 Tiger Ln,Albert Lea,MN,56007-6307,43.6741653,-93.35069060000001
211,241,350,ALBERT LEA AREA LEARNING CENTER,All Students,Graduate,52.7,74.0,2200 Riverland Drive,Albert Lea,MN,56007,43.677558,-93.35308099999999
212,242,1,ALDEN-CONGER SECONDARY,All Students,Graduate,100.0,29.0,215 N Broadway,Alden,MN,56009-0099,43.6727514,-93.5741515
213,252,2,CANNON FALLS SECONDARY,All Students,Graduate,95.65,92.0,820 E Minnesota St,Cannon Falls,MN,55009-2299,44.5117434,-92.8896111
214,253,2,GOODHUE SECONDARY,All Students,Graduate,95.35,43.0,510 3rd Ave,Goodhue,MN,55027-0128,44.4017432,-92.62869719999999
215,255,20,PINE ISLAND SECONDARY,All Students,Graduate,95.29,85.0,223 1st Ave SE,Pine Island,MN,55963-3098,44.2011682,-92.6434517
216,256,108,RED WING SENIOR HIGH,All Students,Graduate,89.83,177.0,2451 Eagle Ridge Dr,Red Wing,MN,55066-7444,44.53505940000001,-92.514326
217,261,20,ASHBY SECONDARY,All Students,Graduate,100.0,13.0,300 Birch Ave,Ashby,MN,56309-0030,46.0921365,-95.82118530000001
218,270,282,HOPKINS SENIOR HIGH,All Students,Graduate,86.98,507.0,2400 Lindbergh Dr,Minnetonka,MN,55305-3124,44.9576522,-93.4131981
219,271,7,KENNEDY SENIOR HIGH,All Students,Graduate,82.67,352.0,9701 Nicollet Ave S,Bloomington,MN,55420-4498,44.8279021,-93.27528269999999
220,271,9,JEFFERSON SENIOR HIGH,All Students,Graduate,88.37,387.0,4001 W 102nd St,Bloomington,MN,55437-2699,44.8171577,-93.3318903
222,271,620,CHOICE ALTERNATIVE HIGH SCHOOL,All Students,Graduate,57.52,113.0,2575 W 88th St,Bloomington,MN,55431,44.8437787,-93.3122868
224,272,64,EDEN PRAIRIE SENIOR HIGH,All Students,Graduate,87.8,713.0,17185 Valley View Rd,Eden Prairie,MN,55346-4253,44.8719426,-93.4930929
226,273,21,EDINA SENIOR HIGH,All Students,Graduate,96.99,664.0,6754 Valley View Rd,Edina,MN,55439,44.8824106,-93.3768427
228,276,74,MINNETONKA SENIOR HIGH,All Students,Graduate,97.22,826.0,18301 Hwy 7,Minnetonka,MN,55345-4114,44.9091608,-93.51076959999999
229,277,62,MOUND WESTONKA HIGH SCHOOL,All Students,Graduate,95.35,129.0,5905 Sunnyfield Rd E,Minnetrista,MN,55364-8251,44.9549153,-93.6719506
230,278,30,ORONO SENIOR HIGH,All Students,Graduate,96.75,246.0,795 Old Crystal Bay Rd N,Long Lake,MN,55356-0026,44.994466,-93.5954448
231,279,32,OSSEO SENIOR HIGH,All Students,Graduate,90.5,442.0,317 2nd Ave NW,Osseo,MN,55369-1000,45.1208606,-93.4087831
233,279,88,PARK CENTER IB WORLD SCHOOL,All Students,Graduate,82.39,460.0,7300 Brooklyn Blvd,Brooklyn Park,MN,55443-3395,45.0891207,-93.343797
234,279,90,MAPLE GROVE SENIOR HIGH,All Students,Graduate,93.52,525.0,9800 Fernbrook Ln,Maple Grove,MN,55369-9747,45.1327231,-93.4599042
235,279,702,ALC SENIOR HIGH,All Students,Graduate,13.7,73.0,7300 Boone Ave N,Brooklyn Park,MN,55428-1001,45.0879649,-93.39072
236,279,703,ALC INDEPENDENT STUDY,All Students,Graduate,100.0,17.0,7300 Boone Ave N,Brooklyn Park,MN,55428-1001,45.0879649,-93.39072
237,280,35,RICHFIELD SENIOR HIGH,All Students,Graduate,84.31,255.0,7001 Harriet Ave S,Richfield,MN,55423-3000,44.8740986,-93.28443779999999
242,280,820,RICHFIELD COLLEGE EXPERIENCE PROGRAM,All Students,Graduate,20.0,20.0,9700 France Ave So,Bloomington,MN,55431,44.8292153,-93.3315628
243,281,50,ROBBINSDALE COOPER SENIOR HIGH,All Students,Graduate,86.24,356.0,8230 47th Ave N,New Hope,MN,55428,45.04156829999999,-93.3847332
244,281,53,ROBBINSDALE ARMSTRONG SENIOR HIGH,All Students,Graduate,88.32,428.0,10635 36th Ave N,Plymouth,MN,55441,45.0198721,-93.4163714
248,281,698,ROBBINSDALE ACADEMIC SUMMER PROGRAM,All Students,Graduate,75.0,16.0,4148 Winnetka Ave N,New Hope,MN,55427,45.03231470000001,-93.3796493
