City,Violent_Crime_Rate,Property_Crime_Rate,Overall_Crime_Rate,Latitude,Longitude
Lakeville,34.10221927133413,1200.3,1234.3930817509586,44.6496868,-93.24271999999999
Lino Lakes,71.5551012851314,689.6500000000002,761.2009123517197,45.1602442,-93.0888324
Little Canada,226.72113415154655,2738.45,2965.1618615554576,45.0268952,-93.0879303
Mankato Public,263.1754104173065,3916.15,4179.307422678063,44.1458114,-93.99948610000001
Maple Grove,38.76488548432908,1722.0,1760.7716677330768,45.0724642,-93.4557877
Maplewood,169.99580938560013,5261.95,5431.924655627029,44.9530215,-92.9952153
Marshall,208.82775597955026,2675.6,2884.433623065491,44.448423,-95.79119159999999
Mendota Heights,71.59097291103569,2255.15,2326.729433302717,44.8835768,-93.1382749
Minneapolis,1015.5654338858564,4806.9,5822.49691488349,44.977753,-93.2650108
Minnetonka,35.783389380497326,1599.7,1635.4663832363806,44.9211836,-93.4687489
Moorhead,136.4646741824124,2118.4,2254.848007522556,46.8737648,-96.76780389999999
Mounds View,183.0481930984529,3058.25,3241.298581813767,45.1049656,-93.2085582
New Brighton,61.09082807512163,2475.75,2536.851839235569,45.0655212,-93.2018908
New Hope,93.44219108752499,1866.3,1959.764797331684,45.0380201,-93.3866185
New Ulm,91.13982504202124,1702.6,1793.7603956069738,44.3144394,-94.45930179999999
North Branch,104.92004693687795,3050.55,3155.4446690801124,45.5102135,-92.99310539999999
North Mankato,179.0224715793357,1958.8,2137.8248396425315,44.1732996,-94.033845
North St Paul,63.09386509269125,2393.15,2456.2177441016674,45.0124657,-92.9918828
Northfield,79.73823030507381,1311.9499999999996,1391.6707986782392,44.4582983,-93.161604
Oakdale,192.1400246652,4266.4,4458.547657721727,44.9630216,-92.9649361
Orono,21.182119720309387,1012.6,1033.812959783523,44.97135189999999,-93.6044033
Owatonna,141.39701580775744,2551.45,2692.827720147417,44.0855572,-93.2259349
Plymouth,69.3304338881952,1481.85,1551.158180894989,45.0105194,-93.4555093
Prior Lake,87.97993752634949,1667.3000000000004,1755.287442689417,44.7132969,-93.4227274
Ramsey,95.85694367005544,1472.6,1568.4769766979182,45.2611,-93.45
Red Wing,215.03745904233608,3174.2,3389.271637103606,44.5660691,-92.5369563
Richfield,228.10812297159808,2544.9,2773.014751766093,44.8832982,-93.28300209999999
Robbinsdale,212.18857886804855,2378.9,2591.117420018007,45.032187,-93.3385614
Rochester,189.3147710838323,2161.100000000001,2350.456760838072,44.0121221,-92.4801989
Rogers,88.42563828544779,2120.55,2208.978991358893,45.1878015,-93.5525206
Rosemount,57.129148199615784,973.55,1030.6883596548873,44.7394103,-93.12577230000001
Roseville,137.98646960383658,4739.95,4877.928848667117,45.0060767,-93.15661070000002
Sartell,27.584678054270714,2020.25,2047.7930069161846,45.6216318,-94.2069365
Sauk Rapids,87.22544630916343,1760.5,1847.730529875916,45.5919097,-94.16610109999999
Savage,108.31786665797352,2087.65,2195.9591403041363,44.7647329,-93.3591147
Shakopee,139.4894924466411,2274.55,2414.059644542511,44.7973962,-93.5272861
Shoreview,53.77066941211947,1122.8,1176.5624252305354,45.0791325,-93.14716670000001
South Lake Minnetonka,108.04711959648584,1000.5,1108.5460192156322,44.9020857,-93.586094
South St Paul,407.44713401923934,2451.95,2859.431298281929,44.8759802,-93.0275802
St. Cloud,386.09679543337995,4044.85,4430.906197170985,45.5579451,-94.16324039999999
St Louis Park,140.53834301764073,2737.9,2878.425759052389,44.9597376,-93.3702186
St. Paul,704.4994471846702,3604.0,4308.4940450647855,44.9537029,-93.0899578
St. Peter,139.07299520276294,1808.05,1947.095983397925,44.3258932,-93.955691
Stillwater,64.2497894003861,1575.35,1639.6025299920184,45.056004,-92.80884429999999
Vadnais Heights,122.73110116607634,2325.8,2448.520120139981,45.05058,-93.06930080000001
West St Paul,389.23613555166804,5066.85,5456.098115820077,44.9160768,-93.10160739999999
White Bear Lake,152.39361977657424,2654.600000000001,2807.0022983467443,45.0853814,-93.0081479
Willmar,243.73137888583324,2871.5,3115.2459541343487,45.1223711,-95.048659
Winona,98.80315053260006,835.9000000000002,934.6971792967478,44.0553908,-91.6663523
Woodbury,43.141538954282666,1946.35,1989.5077421075453,44.9238552,-92.9593797
Worthington,170.04367008030772,1390.1999999999996,1560.2090273178671,43.6210985,-95.59414360000001
