,Latitude,Longitude,Company,Facility,Facility ID,Address,City,County,State,Zip
346,44.4615,-94.3528,,BUFFALO LAKE ADVANCED BIOFUELS,55314MNNST777BO,777 BORDEN AVE W,BUFFALO LAKE,RENVILLE,MN,55314
347,44.8613,-93.5541,,PARKER HANNIFIN CORP,55317CMMRC7850P,7850 PARK DR,CHANHASSEN,CARVER,MN,55317
349,44.573,-93.3342,,GENERAL MILLS INC CHANHASSEN PLANT,55317GNRLM8AUDU,8000 AUDUBON RD,CHANHASSEN,CARVER,MN,55317
350,44.5135,-93.3542,,PARKER HANNIFIN CORP,55317PRKRH2860W,2860 WATER TOWER PL,CHANHASSEN,CARVER,MN,55317
351,44.5145,-93.3045,,PRESS INC,55317PRSSN18780,18780 W 78TH ST,CHANHASSEN,HENNEPIN,MN,55317
352,44.511,-93.3351,,QUANTUM CONTROLS INC,55317QNTMC1691L,1691 LAKE DR W,CHANHASSEN,CARVER,MN,55317
353,44.5039,-93.3207,,ROBERTS AUTOMATIC PRODUCTS INC,55317RBRTS880LA,880 LAKE DR,CHANHASSEN,CARVER,MN,55317
354,44.5118,-93.3222,EMERSON ELECTRIC CO,EMERSON AUTOMATION SOLUTIONS ROSEMOUNT INC,55317RSMNT8200M,8200 MARKET BLVD,CHANHASSEN,CARVER,MN,55317
355,44.5147,-93.31,,AUTOMATED BUILDING COMPONENTS,55317TMTDB18800,18800 WEST 78TH STREET,CHANHASSEN,HENNEPIN,MN,55317
356,44.5117,-93.3543,,PROTECH INTERCONNECT SOLUTIONS LLC,55318CRCTB4300P,4300 PEAVEY RD,CHASKA,CARVER,MN,55318
357,44.5017,-93.3432,,FSI INTERNATIONAL,55318FSNTR322LA,322 LAKE HAZELTINE DR,CHASKA,CARVER,MN,553181096
358,44.4945,-93.36,,BECKMAN COULTER INC,55318KLLST1000L,1000 LAKE HAZELTINE DR,CHASKA,CARVER,MN,553181084
359,44.5105,-93.3655,LANDEC CORP,LIFECORE BIOMEDICAL LLC,55318LFCRB3515L,3515 LYMAN BLVD,CHASKA,CARVER,MN,55318
360,44.5025,-93.3447,GREATBATCH LTD,LAKE REGION MANUFACTURING INC DBA LAKE REGION MEDICAL,55318LKRGN340LA,340 LAKE HAZELTINE DR,CHASKA,CARVER,MN,55318
361,44.5151,-93.3636,VALENT USA CORP,MCLAUGHLIN GORMLEY KING,55318MCLGH4001P,4001 PEAVEY RD,CHASKA,CARVER,MN,55318
362,44.5521,-93.355,MICHAEL FOODS INC,NORTHERN STAR CO,55318MMMTH101W8,101 W 82ND ST,CHASKA,CARVER,MN,55318
363,44.5043,-93.3539,SUPER RADIATOR COILS,SUPER RADIATOR COILS,55318MNNTN104PE,104 PEAVEY RD,CHASKA,CARVER,MN,55318
364,44.5052,-93.3853,,NORDIC TRACK,55318NRDCT141JO,141 JONATHON BLVD N,CHASKA,CARVER,MN,55318
365,44.5112,-93.3529,,PEMSTAR INC.,55318PMSTR426NR,4260 NOREX DR,CHASKA,CARVER,MN,55318
366,44.5055,-93.3531,,PR INDUSTRIES INC,55318PRNDS4311P,4311 PEAVEY RD,CHASKA,CARVER,MN,55318
367,44.5045,-93.3352,,QUALI TECH INC DIV 6,55318QLTCH150JO,150 JONATHAN BLVD N,CHASKA,CARVER,MN,55318
368,44.504,-93.3346,,QUALITECH INC,55318QLTCH318LA,318 LAKE HAZELTINE DR,CHASKA,CARVER,MN,55318
369,44.533,-93.363,APEX INTERNATIONAL MFG INC,APEX INTERNATIONAL,55318SFTSP134CO,134 COLUMBIA CT,CHASKA,CARVER,MN,55318
